State,Geography Type,Year,Resident Population,Percent Change in Resident Population,Resident Population Density,Resident Population Density Rank
Wyoming,State,1910,145965,57.7,1.5,50.0
Wyoming,State,1920,194402,33.2,2,50.0
Wyoming,State,1930,225565,16.0,2.3,50.0
Wyoming,State,1940,250742,11.2,2.6,50.0
Wyoming,State,1950,290529,15.9,3,50.0
Wyoming,State,1960,330066,13.6,3.4,50.0
Wyoming,State,1970,332416,0.7,3.4,51.0
Wyoming,State,1980,469557,41.3,4.8,51.0
Wyoming,State,1990,453588,-3.4,4.7,51.0
Wyoming,State,2000,493782,8.9,5.1,51.0
Wyoming,State,2010,563626,14.1,5.8,51.0
Wyoming,State,2020,576851,2.3,5.9,51.0
